"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Projects\trello\.eslintrc.cjs", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\admin\Desktop\Projects\trello\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\admin\Desktop\Projects\trello\index.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\admin\Desktop\Projects\trello\package-lock.json", "JSON", 0, 0, 0, 7715, 0, 0, 0, 1, 7716
"c:\Users\admin\Desktop\Projects\trello\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\admin\Desktop\Projects\trello\src\App.jsx", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\admin\Desktop\Projects\trello\src\actions\boards\deleteBoard.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\admin\Desktop\Projects\trello\src\actions\boards\getBoards.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\admin\Desktop\Projects\trello\src\actions\boards\patchBoard.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\admin\Desktop\Projects\trello\src\actions\boards\postBoard.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\admin\Desktop\Projects\trello\src\actions\cards\deleteCard.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\admin\Desktop\Projects\trello\src\actions\cards\getCards.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\admin\Desktop\Projects\trello\src\actions\cards\postCard.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\admin\Desktop\Projects\trello\src\components\AddBoard\AddBoard.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\admin\Desktop\Projects\trello\src\components\AddBoard\AddBoard.jsx", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 6, 60
"c:\Users\admin\Desktop\Projects\trello\src\components\Board\Board.css", "CSS", 0, 0, 0, 0, 90, 0, 0, 14, 104
"c:\Users\admin\Desktop\Projects\trello\src\components\Board\Board.jsx", "JavaScript", 0, 0, 99, 0, 0, 0, 3, 13, 115
"c:\Users\admin\Desktop\Projects\trello\src\components\Board\BoardList.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\admin\Desktop\Projects\trello\src\components\Board\BoardList.jsx", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\admin\Desktop\Projects\trello\src\components\Board\BoardMenu.css", "CSS", 0, 0, 0, 0, 73, 0, 0, 13, 86
"c:\Users\admin\Desktop\Projects\trello\src\components\Board\BoardMenu.jsx", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 9, 66
"c:\Users\admin\Desktop\Projects\trello\src\components\Card\Card.css", "CSS", 0, 0, 0, 0, 79, 0, 0, 12, 91
"c:\Users\admin\Desktop\Projects\trello\src\components\Card\Card.jsx", "JavaScript", 0, 0, 39, 0, 0, 0, 1, 4, 44
"c:\Users\admin\Desktop\Projects\trello\src\components\Dropdown\Dropdown.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 8, 76
"c:\Users\admin\Desktop\Projects\trello\src\components\Dropdown\Dropdown.jsx", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\admin\Desktop\Projects\trello\src\components\Form\Form.css", "CSS", 0, 0, 0, 0, 145, 0, 0, 26, 171
"c:\Users\admin\Desktop\Projects\trello\src\components\Form\Form.jsx", "JavaScript", 0, 0, 145, 0, 0, 0, 3, 11, 159
"c:\Users\admin\Desktop\Projects\trello\src\components\Modal\Modal.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\admin\Desktop\Projects\trello\src\components\Modal\Modal.jsx", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\admin\Desktop\Projects\trello\src\components\Sidebar\Sidebar.jsx", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\admin\Desktop\Projects\trello\src\contexts\BoardsContext.jsx", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 12, 61
"c:\Users\admin\Desktop\Projects\trello\src\contexts\CardsContext.jsx", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 11, 53
"c:\Users\admin\Desktop\Projects\trello\src\contexts\ModalContext.jsx", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\Users\admin\Desktop\Projects\trello\src\hooks\useBoards.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\admin\Desktop\Projects\trello\src\hooks\useCards.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\admin\Desktop\Projects\trello\src\hooks\useModal.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\admin\Desktop\Projects\trello\src\images\18773568_6035077.svg", "XML", 0, 0, 0, 0, 0, 34438, 1, 1, 34440
"c:\Users\admin\Desktop\Projects\trello\src\index.css", "CSS", 0, 0, 0, 0, 615, 0, 9, 109, 733
"c:\Users\admin\Desktop\Projects\trello\src\logic\filter-cards.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\admin\Desktop\Projects\trello\src\logic\sort-by-tag.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\admin\Desktop\Projects\trello\src\main.jsx", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\admin\Desktop\Projects\trello\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 17, 5, 772, 7757, 1165, 34438, 18, 318, 44490